ID,Group,Diet,Time,WD
01N,R1AA,AA,R1,Ch
01R,R1AA,AA,R1,Ch
04R,R1AA,AA,R1,Ch
06N,R1AA,AA,R1,Ch
06R,R1AA,AA,R1,Ch
08N,R1AA,AA,R1,Ch
08R,R1AA,AA,R1,Ch
02N,R1CC,CC,R1,Ch
02R,R1CC,CC,R1,Ch
05N,R1CC,CC,R1,Ch
05R,R1CC,CC,R1,Ch
11N,R1CC,CC,R1,Ch
11R,R1CC,CC,R1,Ch
07N,R1MD,MD,R1,Ch
07R,R1MD,MD,R1,Ch
09N,R1MD,MD,R1,Ch
09R,R1MD,MD,R1,Ch
12N,R1MD,MD,R1,Ch
12R,R1MD,MD,R1,Ch
13N,R1MD,MD,R1,Ch
13R,R1MD,MD,R1,Ch
22N,R2AA,AA,R2,Ch
22R,R2AA,AA,R2,Ch
32N,R2AA,AA,R2,Ch
32R,R2AA,AA,R2,Ch
47N,R2AA,AA,R2,Ch
25N,R2CC,CC,R2,Ch
25R,R2CC,CC,R2,Ch
35N,R2CC,CC,R2,Ch
35R,R2CC,CC,R2,Ch
40N,R2CC,CC,R2,Ch
40R,R2CC,CC,R2,Ch
51N,R2CC,CC,R2,Ch
51R,R2CC,CC,R2,Ch
28N,R2MD,MD,R2,Ch
28R,R2MD,MD,R2,Ch
37N,R2MD,MD,R2,Ch
37R,R2MD,MD,R2,Ch
38N,R2MD,MD,R2,Ch
38R,R2MD,MD,R2,Ch
39N,R2MD,MD,R2,Ch
39R,R2MD,MD,R2,Ch
03N,WD1AA,WDAA,WD1,WD
03R,WD1AA,WDAA,WD1,WD
18N,WD1AA,WDAA,WD1,WD
18R,WD1AA,WDAA,WD1,WD
24N,WD1AA,WDAA,WD1,WD
24R,WD1AA,WDAA,WD1,WD
29N,WD1AA,WDAA,WD1,WD
29R,WD1AA,WDAA,WD1,WD
10N,WD2AA,WDAA,WD2,WD
14N,WD2AA,WDAA,WD2,WD
15N,WD2AA,WDAA,WD2,WD
15R,WD2AA,WDAA,WD2,WD
16N,WD2AA,WDAA,WD2,WD
16R,WD2AA,WDAA,WD2,WD
21N,WD2CC,WDCC,WD2,WD
21R,WD2CC,WDCC,WD2,WD
34N,WD2CC,WDCC,WD2,WD
34R,WD2CC,WDCC,WD2,WD
43N,WD2CC,WDCC,WD2,WD
43R,WD2CC,WDCC,WD2,WD
23N,WD2MD,WDMD,WD2,WD
23R,WD2MD,WDMD,WD2,WD
26N,WD2MD,WDMD,WD2,WD
26R,WD2MD,WDMD,WD2,WD
27N,WD2MD,WDMD,WD2,WD
27R,WD2MD,WDMD,WD2,WD
30N,WD3AA,WDAA,WD3,WD
48N,WD3AA,WDAA,WD3,WD
48R,WD3AA,WDAA,WD3,WD
49N,WD3AA,WDAA,WD3,WD
49R,WD3AA,WDAA,WD3,WD
52R,WD3AA,WDAA,WD3,WD
41N,WD3CC,WDCC,WD3,WD
41R,WD3CC,WDCC,WD3,WD
42N,WD3CC,WDCC,WD3,WD
42R,WD3CC,WDCC,WD3,WD
45N,WD3CC,WDCC,WD3,WD
45R,WD3CC,WDCC,WD3,WD
50N,WD3CC,WDCC,WD3,WD
50R,WD3CC,WDCC,WD3,WD
33N,WD3MD,WDMD,WD3,WD
33R,WD3MD,WDMD,WD3,WD
36N,WD3MD,WDMD,WD3,WD
36R,WD3MD,WDMD,WD3,WD
44N,WD3MD,WDMD,WD3,WD
44R,WD3MD,WDMD,WD3,WD
46N,WD3MD,WDMD,WD3,WD
46R,WD3MD,WDMD,WD3,WD
