"","01N","01R","04R","06N","06R","08N","08R","02N","02R","05N","05R","11N","11R","07N","07R","09N","09R","12N","12R","13N","13R","10N","14N","15N","15R","16N","16R","21N","21R","34N","34R","43N","43R","23N","23R","26N","26R","27N","27R"
"pyruvate",252.867558174711,174.188788398358,200.69215113618,117.084877237828,277.892829838971,187.255863942155,322.492338994096,221.997684539329,174.188788398358,125.951016722903,187.255863942155,150.086420503994,174.188788398358,221.997684539329,187.255863942155,236.230642824948,221.997684539329,187.255863942155,174.188788398358,187.255863942155,134.644308083989,221.997684539329,150.086420503994,150.086420503994,174.188788398358,433.603104775728,252.867558174711,117.084877237828,322.492338994096,134.644308083989,150.086420503994,125.951016722903,103.410786619769,236.230642824948,162.565885792067,125.951016722903,277.892829838971,200.69215113618,174.188788398358
"Alanine",1311.61262796431,2088.3465518013,983.955096095811,1695.31198527865,1311.61262796431,1531.45297739993,1531.45297739993,2088.3465518013,1311.61262796431,1311.61262796431,1695.31198527865,1206.53639893362,1855.64821616385,1695.31198527865,1206.53639893362,2088.3465518013,1695.31198527865,1531.45297739993,1695.31198527865,1441.77012893828,1695.31198527865,1206.53639893362,1048.10610201149,1048.10610201149,1131.9750081377,1206.53639893362,983.955096095811,1531.45297739993,1048.10610201149,1131.9750081377,897.003278044817,1441.77012893828,1206.53639893362,1206.53639893362,1311.61262796431,897.003278044817,1855.64821616385,1441.77012893828,1311.61262796431
"Lactate",38489.0675109872,53713.0468395163,27422.0312212801,30851.5191232361,46232.0452139311,38489.0675109872,46232.0452139311,46232.0452139311,38489.0675109872,21886.6339520533,38489.0675109872,24475.7746121492,46232.0452139311,38489.0675109872,38489.0675109872,38489.0675109872,38489.0675109872,46232.0452139311,38489.0675109872,24475.7746121492,38489.0675109872,53713.0468395163,38489.0675109872,38489.0675109872,58886.777630979,58886.777630979,53713.0468395163,46232.0452139311,58886.777630979,46232.0452139311,46232.0452139311,46232.0452139311,46232.0452139311,53713.0468395163,53713.0468395163,53713.0468395163,58886.777630979,38489.0675109872,38489.0675109872
"Serine",674.732896776118,1206.53639893362,773.053265818277,897.003278044817,725.678310941164,555.132077065354,674.732896776118,555.132077065354,589.87960701722,502.219211253746,555.132077065354,628.284256653045,470.063165356097,525.912616630155,525.912616630155,470.063165356097,433.603104775728,1206.53639893362,674.732896776118,628.284256653045,1206.53639893362,403.98671612782,725.678310941164,628.284256653045,373.357194911502,470.063165356097,502.219211253746,470.063165356097,525.912616630155,589.87960701722,725.678310941164,1311.61262796431,555.132077065354,525.912616630155,555.132077065354,525.912616630155,470.063165356097,834.820868174203,983.955096095811
"Glycerate",302.470356902806,277.892829838971,433.603104775728,322.492338994096,470.063165356097,502.219211253746,403.98671612782,1311.61262796431,525.912616630155,834.820868174203,502.219211253746,983.955096095811,983.955096095811,773.053265818277,502.219211253746,628.284256653045,725.678310941164,502.219211253746,589.87960701722,525.912616630155,322.492338994096,302.470356902806,221.997684539329,221.997684539329,277.892829838971,252.867558174711,373.357194911502,174.188788398358,187.255863942155,277.892829838971,277.892829838971,162.565885792067,200.69215113618,252.867558174711,322.492338994096,150.086420503994,302.470356902806,277.892829838971,221.997684539329
"Cytosine",2.59595456905872,7.35437167502222,3.92719630428404,2.59595456905872,3.92719630428404,3.92719630428404,2.59595456905872,3.92719630428404,2.59595456905872,2.59595456905872,2.59595456905872,7.35437167502222,3.92719630428404,2.59595456905872,3.92719630428404,2.59595456905872,2.59595456905872,2.59595456905872,3.92719630428404,3.92719630428404,2.59595456905872,3.92719630428404,2.59595456905872,2.59595456905872,3.92719630428404,7.35437167502222,3.92719630428404,2.59595456905872,13.4133753750081,3.92719630428404,2.59595456905872,2.59595456905872,2.59595456905872,5.53138028797023,2.59595456905872,2.59595456905872,2.59595456905872,2.59595456905872,3.92719630428404
"Proline..L.proline.",433.603104775728,589.87960701722,525.912616630155,773.053265818277,628.284256653045,773.053265818277,589.87960701722,674.732896776118,555.132077065354,589.87960701722,589.87960701722,525.912616630155,589.87960701722,555.132077065354,555.132077065354,725.678310941164,589.87960701722,589.87960701722,628.284256653045,773.053265818277,628.284256653045,433.603104775728,628.284256653045,403.98671612782,502.219211253746,403.98671612782,403.98671612782,674.732896776118,555.132077065354,373.357194911502,403.98671612782,628.284256653045,433.603104775728,433.603104775728,403.98671612782,403.98671612782,403.98671612782,589.87960701722,589.87960701722
"Fumarate",4896.61939574187,5208.57852055161,10886.0360429411,7079.58776693451,6181.84466573814,5847.64156585588,5208.57852055161,8712.06926877734,8065.11048746998,7079.58776693451,8065.11048746998,7577.09311513265,8712.06926877734,8712.06926877734,7079.58776693451,8712.06926877734,6181.84466573814,8065.11048746998,8712.06926877734,7079.58776693451,9430.00164119668,5847.64156585588,8712.06926877734,7079.58776693451,5677.35761696577,5847.64156585588,7577.09311513265,7328.34044103358,4561.94938107872,5847.64156585588,6181.84466573814,7577.09311513265,7577.09311513265,5208.57852055161,5507.07366807565,5208.57852055161,5847.64156585588,7577.09311513265,6652.3398309936
"KIVA",62.1205191988589,83.4934159055613,92.025377911753,83.4934159055613,83.4934159055613,87.760525569395,117.084877237828,73.2092350769244,125.951016722903,200.69215113618,134.644308083989,134.644308083989,98.0695532546108,98.0695532546108,92.025377911753,92.025377911753,125.951016722903,109.241082277615,83.4934159055613,73.2092350769244,56.7167152136174,103.410786619769,134.644308083989,83.4934159055613,73.2092350769244,109.241082277615,98.0695532546108,98.0695532546108,103.410786619769,92.025377911753,87.760525569395,92.025377911753,117.084877237828,83.4934159055613,66.874871669556,48.4340056427082,78.0223824335207,92.025377911753,78.0223824335207
"Valine",2375.54122287164,3508.49852740477,3069.40527455808,3069.40527455808,3069.40527455808,3069.40527455808,3069.40527455808,3996.91545837703,1855.64821616385,2648.7836519679,2648.7836519679,2648.7836519679,3069.40527455808,2088.3465518013,2088.3465518013,2648.7836519679,2375.54122287164,3508.49852740477,2375.54122287164,3996.91545837703,4561.94938107872,2648.7836519679,3069.40527455808,1695.31198527865,3508.49852740477,3069.40527455808,2375.54122287164,3508.49852740477,3069.40527455808,2088.3465518013,2375.54122287164,3069.40527455808,2088.3465518013,3069.40527455808,2088.3465518013,2375.54122287164,3508.49852740477,3069.40527455808,3508.49852740477
